################## FYI, April 2014 values
### Lats,Lons,PIOMAS SIT,PIOMAS Snow,CS2U SIT,CS2C SIT
73.901 75.867 nan nan 0.782 0.000
70.420 196.352 1.338 0.042 1.058 0.000
80.071 36.741 1.330 0.083 1.147 0.001
75.172 82.606 0.941 0.037 0.490 0.002
77.751 139.456 1.172 0.024 0.699 0.002
77.776 67.906 1.678 0.093 0.632 0.002
79.016 24.734 0.460 0.007 0.970 0.002
64.768 183.848 0.266 0.006 1.070 0.003
71.604 202.647 2.093 0.075 0.922 0.003
77.214 146.449 1.165 0.022 0.853 0.004
62.753 187.390 0.571 0.008 0.956 0.004
70.109 65.610 1.369 0.100 0.811 0.004
79.210 47.526 1.141 0.047 0.650 0.004
71.098 157.249 1.414 0.037 1.043 0.005
71.260 194.954 1.750 0.064 1.175 0.006
79.707 54.752 1.167 0.045 0.879 0.006
74.864 119.798 1.458 0.054 0.733 0.006
76.937 110.614 nan nan 0.609 0.007
62.456 191.125 0.805 0.028 0.930 0.007
66.318 302.555 1.153 0.024 1.011 0.007
69.091 294.495 1.090 0.013 1.436 0.008
62.734 182.139 0.825 0.049 1.123 0.008
75.843 131.143 1.542 0.065 0.797 0.009
78.386 30.774 0.866 0.036 1.230 0.009
76.514 135.000 1.397 0.047 0.789 0.010
76.702 115.484 1.324 0.041 0.706 0.010
76.510 133.652 1.532 0.056 0.921 0.010
77.896 66.523 1.758 0.098 0.781 0.010
77.053 127.962 1.464 0.060 0.789 0.011
62.239 183.504 0.709 0.023 0.893 0.012
72.360 290.513 1.435 0.056 0.730 0.012
74.398 130.914 1.341 0.062 0.743 0.012
77.100 151.429 1.372 0.034 0.929 0.013
71.176 301.316 1.409 0.067 1.189 0.013
78.269 144.335 1.438 0.030 0.856 0.013
75.962 124.579 1.575 0.069 0.784 0.013
72.147 290.260 1.404 0.047 0.726 0.014
75.797 116.768 1.410 0.046 0.713 0.014
82.065 48.434 1.825 0.091 1.171 0.014
80.107 80.218 1.793 0.068 0.858 0.015
68.755 300.235 1.382 0.029 0.941 0.015
77.689 113.062 1.432 0.043 0.782 0.016
72.572 73.902 nan nan 0.834 0.017
76.646 144.574 0.882 0.013 0.980 0.017
71.538 232.921 1.578 0.026 0.959 0.017
76.596 151.504 1.227 0.029 1.671 0.018
62.713 183.088 0.694 0.025 0.737 0.018
77.689 83.199 1.283 0.051 0.759 0.018
73.864 245.754 1.986 0.046 1.081 0.018
74.130 157.973 2.212 0.073 1.186 0.018
77.226 73.156 1.455 0.073 0.815 0.018
77.088 145.620 1.077 0.019 0.959 0.018
72.528 66.898 1.306 0.070 0.951 0.018
61.587 192.653 0.551 0.009 0.821 0.019
76.829 133.620 1.431 0.052 0.821 0.019
76.559 127.539 1.491 0.063 0.723 0.020
66.440 302.093 1.189 0.020 0.625 0.020
77.302 114.528 1.301 0.040 0.629 0.021
